,2002 TEXAS WATER SAFARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,
,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,,,,,
,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,,,,,,,
,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,,,,,,,
,Team Members,Staples,,Luling,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Tivoli,,Seadrift,,,,,,,
1,1ST UNLIMITED,,11:12:00,,14:02:00,,17:00:00,,20:35:00,,1:24:00,,4:53:00,,7:08:00,,12:28:00,,17:01:00,,20:09:00,,22:50:00,,,,,,
44,"BAUMBACH, DONALD",2,2:12:00,1,2:50:00,1,2:58:00,1,3:35:00,1,4:49:00,1,3:29:00,1,2:15:00,1,5:20:00,1,4:33:00,1,3:08:00,1,2:41:00,,,,,,
,"JANSEN, DAVE",2,2:12:00,2,5:02:00,1,8:00:00,1,11:35:00,1,16:24:00,1,19:53:00,1,22:08:00,1,27:28:00,1,32:01:00,1,35:09:00,1,37:50:00,,,,,,
,"MYNAR, FRED",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MYNAR, BRIAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"DUNN, JOHN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MYNAR, KYLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"STEWART, CHUCK",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"REMNITZ, DAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"SPELCE, ALLEN",,11:10:00,,14:02:00,,17:02:00,,20:39:00,,1:39:00,,5:35:00,,8:00:00,,13:55:00,,19:07:00,,22:49:00,,2:10:00,,,,,,
129,"RASK, TIM",1,2:10:00,2,2:52:00,2,3:00:00,2,3:37:00,2,5:00:00,2,3:56:00,2,2:25:00,2,5:55:00,3,5:12:00,3,3:42:00,5,3:21:00,,,,,,
,"RASK, MICHAEL",1,2:10:00,1,5:02:00,2,8:02:00,2,11:39:00,2,16:39:00,2,20:35:00,2,23:00:00,2,28:55:00,2,34:07:00,2,37:49:00,2,41:10:00,,,,,,
,"WUESTE, JEFF",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HANSEN, WEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"COCHRAN, JERRY",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SPENCER, JACK",,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MASTERS,,11:31:00,,15:02:00,,18:25:00,,22:30:00,,3:49:00,,7:49:00,,10:31:00,,16:43:00,,21:43:00,,1:20:00,,6:09:00,,,,,,
55,"BINION, PETE",5,2:31:00,5,3:31:00,5,3:23:00,3,4:05:00,4,5:19:00,3,4:00:00,5,2:42:00,3,6:12:00,2,5:00:00,2,3:37:00,31,4:49:00,,,,,,
,"SHIVELY, MIKE",5,2:31:00,5,6:02:00,5,9:25:00,5,13:30:00,4,18:49:00,4,22:49:00,4,25:31:00,4,31:43:00,3,36:43:00,3,40:20:00,3,45:09:00,,,,,,
,"MAIKA, JOHN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SHERROD, VANCE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PROCHASKA, JOHNNY",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SHERROD, JACK",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TANDEM UNLIMITED,,11:26:00,,14:50:00,,18:06:00,,22:17:00,,3:23:00,,7:25:00,,9:55:00,,16:24:00,,22:00:00,,2:05:00,,8:20:00,,,,,,
1024,"DEVOGLAER, JAMES",3,2:26:00,4,3:24:00,3,3:16:00,4,4:11:00,3,5:06:00,4,4:02:00,3,2:30:00,4,6:29:00,5,5:36:00,8,4:05:00,58,6:15:00,,,,,,
