,2003 TEXAS WATER SAFARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,
,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,,,,,
,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,,,,,,,
,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,,,,,,,
,Team Members,Staples,,Luling,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Tivoli,,Seadrift,,,,,,,
1,1ST UNLIMITED, ,11:07:00,,13:50:00,,16:38:00,,20:15:00,,1:00:00,,4:24:00,,6:27:00, ,11:41:00,,16:18:00,,18:55:00,,21:15:00,,,,,,
44,"PROCHASKA, SAMMY",1,2:07:00,1,2:43:00,1,2:48:00,1,3:37:00,1,4:45:00,1,3:24:00,1,2:03:00,1,5:14:00,2,4:37:00,2,2:37:00,1,2:20:00,,,,,,
,"SPELCE, ALLEN",1,2:07:00,1,4:50:00,1,7:38:00,1,11:15:00,1,16:00:00,1,19:24:00,1,21:27:00,1,26:41:00,1,31:18:00,1,33:55:00,1,36:15:00,,,,,,
,"MYNAR, FRED", , ,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MYNAR, BRIAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"COCHRAN, JERRY",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"STEWART, CHUCK",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"KLIMITCHEK, DARRELL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2ND UNLIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"DUPONT, JOHN",,11:28:00,,14:36:00,,17:47:00,,22:01:00,,3:16:00,,7:15:00,,9:26:00,,15:22:00,,20:04:00,,22:35:00,,1:04:00,,,,,,
807,"HARRAS, JOHN MARK",6,2:28:00,4,3:08:00,5,3:11:00,6,4:14:00,3,5:15:00,6,3:59:00,5,2:11:00,4,5:56:00,3,4:42:00,1,2:31:00,2,2:29:00,,,,,,
,"STAFFORD, BILL",6,2:28:00,4,5:36:00,5,8:47:00,5,13:01:00,3,18:16:00,3,22:15:00,3,24:26:00,4,30:22:00,3,35:04:00,2,37:35:00,2,40:04:00,,,,,,
,"RASK, TIM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"YONLEY, TOMMY",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"BINION, WADE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"CARLILE, GENE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1ST TANDEM UNLIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1ST MASTERS,,11:26:00,,14:38:00,,17:43:00,,21:51:00,,3:16:00,,7:31:00,,9:40:00,,15:15:00,,19:49:00,,22:49:00,,1:25:00,,,,,,
731,"PETRISKY, PAT",5,2:26:00,5,3:12:00,2,3:05:00,3,4:08:00,4,5:25:00,10,4:15:00,3,2:09:00,2,5:35:00,1,4:34:00,4,3:00:00,4,2:36:00,,,,,,
,"SIMMONS, MARK",5,2:26:00,5,5:38:00,4,8:43:00,4,12:51:00,4,18:16:00,4,22:31:00,4,24:40:00,3,30:15:00,2,34:49:00,3,37:49:00,3,40:25:00,,,,,,
,"ROBINSON, GARY",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3RD UNLIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"BINION, PETE",,11:19:00,,14:22:00,,17:36:00,,21:45:00,,4:24:00,,8:19:00,,10:31:00,,16:20:00,,21:02:00,,0:02:00,,2:33:00,,,,,,
830,"WYTASKE, ROB",2,2:19:00,2,3:03:00,6,3:14:00,4,4:09:00,15,6:39:00,3,3:55:00,6,2:12:00,3,5:49:00,4,4:42:00,5,3:00:00,3,2:31:00,,,,,,
,"MAIKA, JOHN",2,2:19:00,2,5:22:00,3,8:36:00,3,12:45:00,7,19:24:00,7,23:19:00,7,25:31:00,6,31:20:00,5,36:02:00,5,39:02:00,4,41:33:00,,,,,,
,"SHERROD, VANCE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PROCHASKA, JOHNNY",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SHERROD, JACK",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4TH UNLIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"CHURCHMAN, PETE (dnf)",,11:25:00,,14:28:00,,17:35:00,,21:23:00,,2:24:00,,6:23:00,,8:39:00,,14:48:00,,20:06:00,,23:30:00,,2:49:00,,,,,,
107,"VINCENT, BOB (dnf)",3,2:25:00,3,3:03:00,3,3:07:00,2,3:48:00,2,5:01:00,5,3:59:00,8,2:16:00,6,6:09:00,7,5:18:00,12,3:24:00,20,3:19:00,,,,,,
,"HAYMAN, GWYN",3,2:25:00,3,5:28:00,2,8:35:00,2,12:23:00,2,17:24:00,2,21:23:00,2,23:39:00,2,29:48:00,4,35:06:00,4,38:30:00,5,41:49:00,,,,,,
,"COPPEDGE, MARC",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HARVEY, JIMMY",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"DEVINEY, LEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MCGINNIS, ADAM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5TH UNLIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"GOYNES, TOM",,11:35:00,,14:48:00,,18:06:00,,22:22:00,,3:55:00,,7:47:00,,9:57:00,,16:23:00,,21:37:00,,:49,,3:35:00,,,,,,
123,"MYNAR, JOE",9,2:35:00,6,3:13:00,7,3:18:00,7,4:16:00,6,5:33:00,2,3:52:00,4,2:10:00,8,6:26:00,6,5:14:00,8,3:12:00,5,2:46:00,,,,,,
,"CHATHAM, BUCKY",9,2:35:00,6,5:48:00,6,9:06:00,6,13:22:00,6,18:55:00,5,22:47:00,6,24:57:00,7,31:23:00,7,36:37:00,6,39:49:00,6,42:35:00,,,,,,
,"DUNN, JOHN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SOUTHARD, STEFFAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
