,2001 TEXAS WATER SAFARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,
,,,,,,,,, ,,13:59:00,,Time In,,,,,,,,,,,,,,,,
,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,,,,,,,
,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,,,,,,,
,Team Members,Staples,,Luling,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Tivoli,,Seadrift,,,,,,,
1,1ST MIXED,,11:05:00,,13:58:00,,16:55:00,,20:34:00,,1:09:00,,4:33:00,,6:50:00,,12:02:00,,16:15:00,,19:08:00,,21:03:00,,,,,,
44,"VINCENT, MIKE",1,2:05:00,1,2:53:00,1,2:57:00,1,3:39:00,1,4:35:00,1,3:24:00,2,2:17:00,1,5:12:00,1,4:13:00,1,2:53:00,1,1:55:00,,,,,,
,"VINCENT, FIONA",1,2:05:00,1,4:58:00,1,7:55:00,1,11:34:00,1,16:09:00,1,19:33:00,1,21:50:00,1,27:02:00,1,31:15:00,1,34:08:00,1,36:03:00,,,,,,
,"MYNAR, FRED",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MYNAR, BRIAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"DUNN, JOHN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MYNAR, KYLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"STEWART, CHUCK",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"BAUMBACH, DONALD",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MYNAR, JOE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"BINION, WADE",,11:17:00,,14:19:00,,17:25:00,,21:05:00,,2:15:00,,6:08:00,,8:24:00,,13:48:00,,18:03:00,,21:10:00,,23:35:00,,,,,,
181,"BUGGE, JOHN",3,2:17:00,2,3:02:00,2,3:06:00,2,3:40:00,2,5:10:00,2,3:53:00,1,2:16:00,2,5:24:00,2,4:15:00,2,3:07:00,5,2:25:00,,,,,,
,"STEPPE, RICHARD",3,2:17:00,3,5:19:00,3,8:25:00,2,12:05:00,2,17:15:00,2,21:08:00,2,23:24:00,2,28:48:00,2,33:03:00,2,36:10:00,2,38:35:00,,,,,,
,"SHERROD, VANCE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"WYTASKE, ROB",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MAGEE, ERIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"BINION, PETE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PYE, JIM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MAIKA, JOHN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"KOSLOSKY, ED",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1ST UNLIMITED,,11:06:00,,14:12:00,,17:20:00,,21:15:00,,2:44:00,,7:11:00,,9:40:00,,15:44:00,,20:41:00,,0:23:00,,2:53:00,,,,,,
21,"HANSEN, WEST",2,2:06:00,3,3:06:00,3,3:08:00,3,3:55:00,5,5:29:00,11,4:27:00,4,2:29:00,3,6:04:00,4,4:57:00,6,3:42:00,6,2:30:00,,,,,,
,"ADAMSON, IAN",2,2:06:00,2,5:12:00,2,8:20:00,3,12:15:00,3,17:44:00,3,22:11:00,3,24:40:00,3,30:44:00,3,35:41:00,3,39:23:00,3,41:53:00,,,,,,
,"SPELCE, ALLEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"WUESTE, JEFF",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"DEVINEY, LEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"PROCHASKA, JOHNNY",,11:23:00,,14:47:00,,18:15:00,,22:39:00,,4:30:00,,8:50:00,,11:35:00,,18:05:00,,23:16:00,,2:51:00,,5:02:00,,,,,,
1210,"PROCHASKA, SAMMY",4,2:23:00,8,3:24:00,9,3:28:00,5,4:24:00,9,5:51:00,9,4:20:00,8,2:45:00,6,6:30:00,6,5:11:00,5,3:35:00,2,2:11:00,,,,,,
